Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-06-15,2934.634521484375,2966.3396373781225,2924.5608831890954,2966.3396373781225,1304985
2021-06-16,2945.0673828125,2963.3707676206113,2925.8643427123316,2934.049295447536,1635552
2021-06-17,2984.103271484375,3000.562991347635,2932.160851492446,2937.1077486345343,2273413
2021-06-18,2965.7099609375,3020.305674749723,2945.652496964069,3013.9195921879455,3380431
2021-06-21,2943.943603515625,2955.546238283212,2924.6955443431953,2936.6580852083653,1130569
2021-06-22,2969.2177734375,2992.468279478125,2954.646955656143,2971.7362378958587,1708688
2021-06-23,2933.420166015625,2994.2221208899614,2928.922986500921,2994.2221208899614,1467104
2021-06-24,3034.3369140625,3042.7915233358513,2948.8004756892074,2953.7473729337676,4155204
2021-06-25,3040.8125,3057.7667325383454,3013.109834321905,3035.820587550749,2722861
2021-06-28,3001.1923828125,3050.436492487778,2997.819498588166,3050.436492487778,1355238
2021-06-29,3004.88037109375,3027.770969739679,2991.97337870855,3005.914634493905,1497322
2021-06-30,3009.287841796875,3041.892395115305,3002.7669311331892,3009.512700785278,1693146
2021-07-01,3005.46484375,3023.903278374233,2997.2350936922753,3020.305535032919,990310
2021-07-02,2991.028564453125,3003.845523862915,2963.820633074449,2996.0204767725936,1682274
2021-07-05,2987.026611328125,3034.69671382749,2969.937329300051,3005.914765148628,1972858
2021-07-06,2934.2294921875,2993.322381093609,2928.653034073179,2979.8308439192087,2159420
2021-07-07,2945.60693359375,2952.5775603439947,2915.6108844282326,2945.6519492969946,2640710
2021-07-08,2930.811767578125,2966.3394842635125,2906.8866857215453,2966.3394842635125,2485811
2021-07-09,2885.525146484375,2951.9485744238727,2879.094267742479,2923.1666261052974,6365067
2021-07-12,2871.98876953125,2910.5744805885615,2867.7164491410163,2909.6750447169334,1892226
2021-07-13,2866.99658203125,2890.7866146403185,2855.708619005293,2890.7866146403185,1809339
2021-07-14,2891.281494140625,2897.9822471630723,2864.703121419735,2866.501993081537,2044279
